"Table S1. Sample information including scientific name based on nuclear assignment, sex, date of collection, and latitude and longitude of sampling location. Plumage scores for samples with available data are also provided. Per sample accession numbers associated with raw mtDNA and nuclear Illumina Hiseq data are provided."														
Sample.ID	Scientific_Name	Common_Name	Nuclear_Group	Plumage_Score	Sex	Age	Country	State/Province	Longitude	Latitude	Date Collected	Genbank mtDNA Accession Num.	Genbank ddRAD Raw Read SRA	Genbank ddRAD Raw Read Accession Num.
CAMall17	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	Unk	United States	California	39.3299	-121.914	2004	Not Sequenced	 PRJNA295689	SAMN04095856
PL121516	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Adult	United States	California	37.287222	-120.890657	15-Dec-16	TBD	TBD	TBD
PL861	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	I	United States	CT	41.3517	-72.4161	16-Oct-09	Not Sequenced	 PRJNA295689	SAMN04095862
PL3220	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	AHY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3221	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3222	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Male	AHY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3223	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3224	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3225	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3226	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	HY	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL3227	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	NA	United States	Kentucky	37.0419	-89.0896	17-Feb-17	TBD	TBD	TBD
PL923	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	A	United States	ME	43.9194	-70.4667	9-Nov-09	MK425484	 PRJNA295689	SAMN04095863
PL962	Anas platyrhynchos	Wild Mallard	Wild x Feral Mallard	Unavailable Data	Female	I	United States	ME	44.96644167	-70.77368056	6-Oct-09	MK425490	PRJNA516035	SAMN10781561 
JIBCan001	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	NA	Canada	Manitoba	50.19871	-98.21405	21-Oct-17	TBD	TBD	TBD
JIBCan002	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	NA	Canada	Manitoba	50.19871	-98.21405	21-Oct-17	TBD	TBD	TBD
JIBCan003	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	NA	Canada	Manitoba	50.19871	-98.21405	21-Oct-17	TBD	TBD	TBD
JIBCan004	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	NA	Canada	Manitoba	50.19871	-98.21405	21-Oct-17	TBD	TBD	TBD
JIBCan005	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	AHY	Canada	Manitoba	50.19871	-98.21405	21-Oct-17	TBD	TBD	TBD
JIBCan006	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	AHY	Canada	Manitoba	50.19871	-98.21405	21-Oct-17	TBD	TBD	TBD
KGM1383	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	Unk	Canada	Manitoba	50.1	-100.4	19-Oct-06	MK425362	PRJNA516035	SAMN10781290 
KGM1387	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	Canada	Manitoba	50.1	-98.25	23-Sep-06	MK425363	PRJNA516035	SAMN10781291 
KGM1388	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	Canada	Manitoba	50.1	-98.25	9-Sep-06	MK425364	PRJNA516035	SAMN10781292 
KGM1390	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	AHY	Canada	Manitoba	50.1	-100.4	20-Oct-06	MK425365	PRJNA516035	SAMN10781293 
KGM1392	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Male	Unk	Canada	Manitoba	51.1	-99.8	23-Sep-06	MK425366	PRJNA516035	SAMN10781294 
KGM1393	Anas platyrhynchos	Wild Mallard	Wild Mallard	Unavailable Data	Female	AHY	Canada	Manitoba	51.1	-100.8	12-Oct-06	MK425367	PRJNA516035	SAMN10781295 
